Product Title; Description; Price; Rating; Reviews
"2024 Gaming Laptop";"Laptop with AMD Ryzen 7 6900HX (8C/16T, Up to 4.9GHz), 16GB DDR5 512GB NVMe SSD Laptop Computer, 16-inch FHD Display, WiFi 6, 53Wh Battery, Backlit KB";"$699.99 $1,899.99";"5.0 out of 5 stars";"4"
"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode";"";"$279.99 $321.99";"4.4 out of 5 stars";"39,461"
"16.0-inch Laptop";"16GB DDR4 512GB SSD Gaming Laptop, Windows 11 Laptop with Intel 12th Quad-Core Processor(Up to 3.6GHz), 1920P FHD Display, Metal Shell, WiFi 6, USB3.2, Type_C, Long Battery Life";"$389.99 $1,399.99";"4.3 out of 5 stars";"22"
"HP 14"" Ultral Light Laptop for Students and Business";"Intel Quad-Core, 8GB RAM, 192GB Storage(64GB eMMC+128GB Ghost Manta SD Card), 1 Year Office 365, USB C, Win 11 S";"$265.99";"4.1 out of 5 stars";"2,045"
"HP 14 Laptop";"Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)";"$178.99 $209.99";"4.0 out of 5 stars";"2,009"
"Gaming Laptop";"2024 Laptop Computer with Intel Quad-Core Processor(Up to 3.6GHz), 16GB DDR4 512GB SSD, Windows 11 Laptop, 15.6"" IPS 1080P, Metal Shell, USB3.2, Long Battery Life";"$379.99 $1,499.99";"5.0 out of 5 stars";"3"
"Lenovo Newest Flagship Chromebook";"14'' FHD Touchscreen Slim Thin Light Laptop Computer, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, WiFi 6,Chrome OS+HubxcelAccesory, Abyss Blue";"$199.20 $299.99";"4.3 out of 5 stars";"577"
"ASUS E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Star Black)";"";"$149.00";"4.0 out of 5 stars";"709"
"Laptop";"2024 Gaming Laptop Computer with Intel N150 Processor(Up to 3.6GHz), 16GB DDR4 512GB SSD, Windows 11 Laptop, 15.6"" IPS 1080P, Metal Shell, USB3.2, Long Battery Life";"$389.99 $1,499.99";"5.0 out of 5 stars";"5"
"Dell Inspiron Touchscreen Laptop";"15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black";"$499.50 $649.99";"4.1 out of 5 stars";"105"
"ASUS Chromebook CM14 Laptop";"14"" HD Anti-Glare Display (1366x768), MediaTek Kompanio 520, 4GB RAM, 64GB eMMC, ChromeOS, Gray, CM1402CM2A-DS44, Gravity Grey";"$166.00 $279.99";"4.2 out of 5 stars";"1,143"
"Laptop";"15.6In Windows 11 Pro Traditional Gaming Laptops Computer with Quad Core-12th Alder Lake N97(Up to 3.6GHz), 16GB DDR4 512GB Hard Drive for Business, School, Offic";"$359.99 $1,299.99";"5.0 out of 5 stars";"9"
"Acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 144Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | WiFi 6 | Backlit KB | ANV15-51-51H9";"";"$649.99 $779.99";"4.4 out of 5 stars";"1,246"
"Dell Inspiron 3520 15.6"" Touchscreen i7 Laptop";"15.6"" FHD Touchscreen, Intel Core i7-1255U, 32GB RAM, 1TB SSD, Numeric Keypad, Webcam, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black";"$581.00 $625.99";"4.8 out of 5 stars";"7"
"HP Portable Laptop";"Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver";"$197.35 $269.00";"4.0 out of 5 stars";"1,875"
"HP 15.6"" Portable Laptop (Include 1 Year Microsoft 365)";"HD Display, Intel Quad-Core N200 Processor, 16GB RAM, 128GB Storage, Wi-Fi 5, Webcam, HDMI, Numeric Keypad, Windows 11 Home, Red";"$286.90";"4.2 out of 5 stars";"774"
"jumper Laptop Computer 14 Inch";"Office 365, 12GB RAM 512GB SSD, Laptop with FHD 1920x1080 Display, Celeron N4000 CPU, 35.52WH Battery, 2 Speakers, 2.4/5G WiFi, BT4.0, Business Portable Laptops.";"$859.99";"4.5 out of 5 stars";"117"
"HP Stream 14"" HD BrightView Laptop";"Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Gold";"$309.00 $399.00";"4.3 out of 5 stars";"2,114"
"330W AC Adapter Charger Fit for HP OMEN 17 17-ck1111nr 17-ck1020nr 17-ck0000 17-ck1021nr 17-cm2047nr 17-ck1010nr TPN-DA60 OMEN 7 Plus 9 Plus Gaming Laptop Charger";"";"$89.99";"5.0 out of 5 stars";"2"
"180W Laptop Charger for MSI WF76 GE62VR GS63 GS73VR GS63VR GF63 GF65 Thin GF75 GS66 Stealth Gaming Laptop Power Adapter Supply Cord";"";"$38.99";"4.3 out of 5 stars";"84"
